id,season,week,completed,home_team,home_classification,home_points,away_team,away_classification,away_points,result,winner,mean_spread,home_moneyline,away_moneyline,proj_margin,VoA_AE,vegas_AE,VoA_SE,vegas_SE,VoA_correct_winner,vegas_correct_winner,VoA_ATS_winner,VoA_AEATS_winner,payout,profit
401866619,2026,1,true,Stonehill,fcs,6,Bryant,fcs,24,18,Bryant,4.5,153,-192,0.23158346820997222,17.768416531790027,13.5,315.71662604718915,182.25,1,1,0,0,1.5208333333333335,0.5208333333333335
401866619,2026,1,true,Stonehill,fcs,6,Bryant,fcs,24,18,Bryant,4.0,,,0.23158346820997222,17.768416531790027,14.0,315.71662604718915,196.0,1,1,0,0,0.0,0.0
401868101,2026,1,true,Idaho State,fcs,38,VMI,fcs,10,-28,Idaho State,-34.5,,,-10.579045247152777,17.420954752847223,6.5,303.4896645007502,42.25,1,1,1,0,0.0,0.0
401868394,2026,1,true,Wofford,fcs,42,The Citadel,fcs,14,-28,Wofford,-7.5,-415,305,-7.177779382402333,20.822220617597665,20.5,433.5648714479093,420.25,1,1,0,0,1.2409638554216866,0.24096385542168663
401868394,2026,1,true,Wofford,fcs,42,The Citadel,fcs,14,-28,Wofford,-7.5,,,-7.177779382402333,20.822220617597665,20.5,433.5648714479093,420.25,1,1,0,0,0.0,0.0
401867855,2026,1,true,Indiana State,fcs,21,Southeast Missouri State,fcs,23,2,Southeast Missouri State,-2.5,-143,115,6.356113703374241,4.356113703374241,4.5,18.975726596724847,20.25,1,0,1,1,2.1500000000000004,1.1500000000000004
401867855,2026,1,true,Indiana State,fcs,21,Southeast Missouri State,fcs,23,2,Southeast Missouri State,-2.5,,,6.356113703374241,4.356113703374241,4.5,18.975726596724847,20.25,1,0,1,1,0.0,0.0
401867988,2026,1,true,Richmond,fcs,35,Bucknell,fcs,14,-21,Richmond,-12.5,-620,420,-6.571641070947382,14.428358929052617,8.5,208.1775413855724,72.25,1,1,0,0,1.1612903225806452,0.16129032258064524
401867988,2026,1,true,Richmond,fcs,35,Bucknell,fcs,14,-21,Richmond,-12.5,,,-6.571641070947382,14.428358929052617,8.5,208.1775413855724,72.25,1,1,0,0,0.0,0.0
401866408,2026,1,true,Eastern Michigan,fbs,28,Sacramento State,fbs,17,-11,Eastern Michigan,-9.5,,,7.401644194453393,18.401644194453393,1.5,338.62050905926026,2.25,0,1,0,0,-1.0,-1.0
401866408,2026,1,true,Eastern Michigan,fbs,28,Sacramento State,fbs,17,-11,Eastern Michigan,-8.5,-355,280,7.401644194453393,18.401644194453393,2.5,338.62050905926026,6.25,0,1,0,0,-1.0,-1.0
401866408,2026,1,true,Eastern Michigan,fbs,28,Sacramento State,fbs,17,-11,Eastern Michigan,-9.0,-330,265,7.401644194453393,18.401644194453393,2.0,338.62050905926026,4.0,0,1,0,0,-1.0,-1.0
401866621,2026,1,true,Tennessee Tech,fcs,38,Monmouth,fcs,14,-24,Tennessee Tech,-8.5,-340,257,1.3769835286431658,25.376983528643166,15.5,643.9912930130265,240.25,0,1,0,0,-1.0,-1.0
401866621,2026,1,true,Tennessee Tech,fcs,38,Monmouth,fcs,14,-24,Tennessee Tech,-8.5,,,1.3769835286431658,25.376983528643166,15.5,643.9912930130265,240.25,0,1,0,0,-1.0,-1.0
401868149,2026,1,true,North Alabama,fcs,22,Samford,fcs,10,-12,North Alabama,-7.0,-313,239,-2.6785147350021763,9.321485264997824,5.0,86.89008754557155,25.0,1,1,0,0,1.3194888178913737,0.31948881789137373
401868149,2026,1,true,North Alabama,fcs,22,Samford,fcs,10,-12,North Alabama,-7.0,,,-2.6785147350021763,9.321485264997824,5.0,86.89008754557155,25.0,1,1,0,0,0.0,0.0
401868049,2026,1,true,Lamar,fcs,21,Abilene Christian,fcs,14,-7,Lamar,7.5,232,-303,-0.9067383497873278,6.093261650212672,14.5,37.12783753795246,210.25,1,0,1,1,3.32,2.32
401868049,2026,1,true,Lamar,fcs,21,Abilene Christian,fcs,14,-7,Lamar,7.5,,,-0.9067383497873278,6.093261650212672,14.5,37.12783753795246,210.25,1,0,1,1,0.0,0.0
401864570,2026,1,true,Florida State,fbs,34,New Mexico State,fbs,17,-17,Florida State,-30.5,,,-40.31643085954013,23.316430859540127,13.5,543.6559480277151,182.25,1,1,0,0,0.0,0.0
401864570,2026,1,true,Florida State,fbs,34,New Mexico State,fbs,17,-17,Florida State,-31.5,-8000,2200,-40.31643085954013,23.316430859540127,14.5,543.6559480277151,210.25,1,1,0,0,1.0125,0.012499999999999956
401864570,2026,1,true,Florida State,fbs,34,New Mexico State,fbs,17,-17,Florida State,-31.0,-100000,2800,-40.31643085954013,23.316430859540127,14.0,543.6559480277151,196.0,1,1,0,0,1.001,0.0009999999999998899
401868139,2026,1,true,Western Carolina,fcs,45,Eastern Kentucky,fcs,21,-24,Western Carolina,-3.0,-152,122,-6.064008322161687,17.935991677838313,21.0,321.6997974674852,441.0,1,1,1,1,1.6578947368421053,0.6578947368421053
401868139,2026,1,true,Western Carolina,fcs,45,Eastern Kentucky,fcs,21,-24,Western Carolina,-3.0,,,-6.064008322161687,17.935991677838313,21.0,321.6997974674852,441.0,1,1,1,1,0.0,0.0
401868305,2026,1,true,McNeese,fcs,27,Stephen F. Austin,fcs,38,11,Stephen F. Austin,12.5,328,-453,1.21252411487163,9.78747588512837,1.5,95.79468420196936,2.25,1,1,1,0,1.2207505518763797,0.2207505518763797
401868305,2026,1,true,McNeese,fcs,27,Stephen F. Austin,fcs,38,11,Stephen F. Austin,12.5,,,1.21252411487163,9.78747588512837,1.5,95.79468420196936,2.25,1,1,1,0,0.0,0.0
401858201,2026,1,true,Stanford,fbs,37,Hawai'i,fbs,27,-10,Stanford,-4.5,-205,170,-0.6252493313813154,9.374750668618685,5.5,87.88595009876647,30.25,1,1,0,0,1.4878048780487805,0.4878048780487805
401858201,2026,1,true,Stanford,fbs,37,Hawai'i,fbs,27,-10,Stanford,-4.5,,,-0.6252493313813154,9.374750668618685,5.5,87.88595009876647,30.25,1,1,0,0,0.0,0.0
401858201,2026,1,true,Stanford,fbs,37,Hawai'i,fbs,27,-10,Stanford,-5.0,-170,145,-0.6252493313813154,9.374750668618685,5.0,87.88595009876647,25.0,1,1,0,0,1.5882352941176472,0.5882352941176472
401874042,2026,1,true,Mercer,fcs,23,East Texas A&M,fcs,15,-8,Mercer,-22.5,-3200,1100,-10.091198211805462,2.0911982118054624,14.5,4.373109961058364,210.25,1,1,1,1,1.03125,0.03125
401874042,2026,1,true,Mercer,fcs,23,East Texas A&M,fcs,15,-8,Mercer,-22.5,,,-10.091198211805462,2.0911982118054624,14.5,4.373109961058364,210.25,1,1,1,1,0.0,0.0
401872615,2026,1,true,South Dakota State,fcs,70,Stetson,fcs,7,-63,South Dakota State,-50.5,,,-17.389050781889175,45.610949218110825,12.5,2080.3586885770846,156.25,1,1,0,0,0.0,0.0
401867977,2026,1,true,Texas Southern,fcs,42,North Carolina Central,fcs,30,-12,Texas Southern,10.5,328,-453,2.203287945370913,14.203287945370914,22.5,201.73338845911871,506.25,0,0,1,1,-1.0,-1.0
401867977,2026,1,true,Texas Southern,fcs,42,North Carolina Central,fcs,30,-12,Texas Southern,10.5,,,2.203287945370913,14.203287945370914,22.5,201.73338845911871,506.25,0,0,1,1,-1.0,-1.0
401867935,2026,1,true,Howard,fcs,31,Alabama A&M,fcs,24,-7,Howard,-1.5,-124,100,0.2849285548582632,7.284928554858263,5.5,53.070184049389304,30.25,0,1,0,0,-1.0,-1.0
401867935,2026,1,true,Howard,fcs,31,Alabama A&M,fcs,24,-7,Howard,1.5,,,0.2849285548582632,7.284928554858263,8.5,53.070184049389304,72.25,0,0,1,1,-1.0,-1.0
401868194,2026,1,true,Tennessee State,fcs,24,Jackson State,fcs,26,2,Jackson State,12.5,435,-650,11.033508824250703,9.033508824250703,10.5,81.60428167781531,110.25,1,1,1,1,1.1538461538461537,0.15384615384615374
401868194,2026,1,true,Tennessee State,fcs,24,Jackson State,fcs,26,2,Jackson State,12.5,,,11.033508824250703,9.033508824250703,10.5,81.60428167781531,110.25,1,1,1,1,0.0,0.0
401868110,2026,1,true,Montana,fcs,28,Southern Utah,fcs,21,-7,Montana,-15.5,-1080,620,-2.9915723616685903,4.00842763833141,8.5,16.067492131739126,72.25,1,1,1,1,1.0925925925925926,0.09259259259259256
401868110,2026,1,true,Montana,fcs,28,Southern Utah,fcs,21,-7,Montana,-15.5,,,-2.9915723616685903,4.00842763833141,8.5,16.067492131739126,72.25,1,1,1,1,0.0,0.0
401868235,2026,1,true,Tarleton State,fcs,49,Prairie View A&M,fcs,30,-19,Tarleton State,-19.5,-1540,770,-5.1399106772053305,13.86008932279467,0.5,192.1020760358468,0.25,1,1,1,0,1.0649350649350648,0.06493506493506485
401868235,2026,1,true,Tarleton State,fcs,49,Prairie View A&M,fcs,30,-19,Tarleton State,-19.5,,,-5.1399106772053305,13.86008932279467,0.5,192.1020760358468,0.25,1,1,1,0,0.0,0.0
401868118,2026,1,true,Utah Tech,fcs,0,Montana State,fcs,54,54,Montana State,32.5,,,15.569943919456358,38.43005608054364,21.5,1476.8692103537294,462.25,1,1,0,0,0.0,0.0
401862693,2026,1,true,UNLV,fbs,21,Memphis,fbs,27,6,Memphis,-4.0,-198,164,0.3850476090749251,5.614952390925075,10.0,31.52769035235522,100.0,1,0,1,1,2.64,1.6400000000000001
401862693,2026,1,true,UNLV,fbs,21,Memphis,fbs,27,6,Memphis,-4.5,,,0.3850476090749251,5.614952390925075,10.5,31.52769035235522,110.25,1,0,1,1,0.0,0.0
401862693,2026,1,true,UNLV,fbs,21,Memphis,fbs,27,6,Memphis,-5.0,-170,145,0.3850476090749251,5.614952390925075,11.0,31.52769035235522,121.0,1,0,1,1,2.45,1.4500000000000002
401858423,2026,1,true,Rutgers,fbs,21,Massachusetts,fbs,37,16,Massachusetts,-29.25,,,-38.42671116448164,54.42671116448164,45.25,2962.2668881819104,2047.5625,0,0,0,0,-1.0,-1.0
401858423,2026,1,true,Rutgers,fbs,21,Massachusetts,fbs,37,16,Massachusetts,-29.5,-8000,2200,-38.42671116448164,54.42671116448164,45.5,2962.2668881819104,2070.25,0,0,0,0,-1.0,-1.0
401867889,2026,1,true,Samford,fcs,18,Southern Illinois,fcs,22,4,Southern Illinois,20.5,730,-1400,8.908672352718655,4.908672352718655,16.5,24.095064266344497,272.25,1,1,1,1,1.0714285714285714,0.0714285714285714
401867889,2026,1,true,Samford,fcs,18,Southern Illinois,fcs,22,4,Southern Illinois,20.5,,,8.908672352718655,4.908672352718655,16.5,24.095064266344497,272.25,1,1,1,1,0.0,0.0
401864424,2026,1,true,Delaware,fbs,42,Merrimack,fcs,7,-35,Delaware,-31.5,-8000,2200,-17.711837598782623,17.288162401217377,3.5,298.8805592108662,12.25,1,1,0,0,1.0125,0.012499999999999956
401864424,2026,1,true,Delaware,fbs,42,Merrimack,fcs,7,-35,Delaware,-31.5,,,-17.711837598782623,17.288162401217377,3.5,298.8805592108662,12.25,1,1,0,0,0.0,0.0
401866622,2026,1,true,Stony Brook,fcs,36,Lindenwood,fcs,32,-4,Stony Brook,-4.0,-189,150,-0.23536805151665585,3.764631948483344,0.0,14.172453707541498,0.0,1,1,0,0,1.529100529100529,0.5291005291005291
401866622,2026,1,true,Stony Brook,fcs,36,Lindenwood,fcs,32,-4,Stony Brook,-4.0,,,-0.23536805151665585,3.764631948483344,0.0,14.172453707541498,0.0,1,1,0,0,0.0,0.0
401856767,2026,1,true,UCF,fbs,73,Bethune-Cookman,fcs,6,-67,UCF,-43.5,,,-32.9926707966827,34.0073292033173,23.5,1156.4984395427975,552.25,1,1,0,0,0.0,0.0
401866409,2026,1,true,Buffalo,fbs,21,UAlbany,fcs,17,-4,Buffalo,-18.5,-1000,650,-8.292920202931157,4.292920202931157,14.5,18.429163868734484,210.25,1,1,1,1,1.1,0.10000000000000009
401866409,2026,1,true,Buffalo,fbs,21,UAlbany,fcs,17,-4,Buffalo,-18.5,,,-8.292920202931157,4.292920202931157,14.5,18.429163868734484,210.25,1,1,1,1,0.0,0.0
401858204,2026,1,true,Wake Forest,fbs,38,Akron,fbs,16,-22,Wake Forest,-27.5,,,-35.74035018331266,13.740350183312657,5.5,188.79722316006016,30.25,1,1,0,0,0.0,0.0
401858204,2026,1,true,Wake Forest,fbs,38,Akron,fbs,16,-22,Wake Forest,-27.5,-3500,1100,-35.74035018331266,13.740350183312657,5.5,188.79722316006016,30.25,1,1,0,0,1.0285714285714285,0.02857142857142847
401858204,2026,1,true,Wake Forest,fbs,38,Akron,fbs,16,-22,Wake Forest,-27.5,-3600,1500,-35.74035018331266,13.740350183312657,5.5,188.79722316006016,30.25,1,1,0,0,1.0277777777777777,0.02777777777777768
401858422,2026,1,true,Minnesota,fbs,59,Eastern Illinois,fcs,7,-52,Minnesota,-42.5,,,-25.243523659761237,26.756476340238763,9.5,715.9090261457567,90.25,1,1,0,0,0.0,0.0
401856776,2026,1,true,Georgia Tech,fbs,13,Colorado,fbs,14,1,Colorado,-6.5,-238,195,-21.664668046879193,22.664668046879193,7.5,513.6871776752267,56.25,0,0,0,0,-1.0,-1.0
401856776,2026,1,true,Georgia Tech,fbs,13,Colorado,fbs,14,1,Colorado,-6.5,,,-21.664668046879193,22.664668046879193,7.5,513.6871776752267,56.25,0,0,0,0,-1.0,-1.0
401856776,2026,1,true,Georgia Tech,fbs,13,Colorado,fbs,14,1,Colorado,-6.5,-290,240,-21.664668046879193,22.664668046879193,7.5,513.6871776752267,56.25,0,0,0,0,-1.0,-1.0
401856663,2026,1,true,Missouri,fbs,54,Arkansas-Pine Bluff,fcs,14,-40,Missouri,-55.5,,,-51.44684961393598,11.446849613935981,15.5,131.03036608406632,240.25,1,1,1,1,0.0,0.0
401858424,2026,1,true,Illinois,fbs,42,UAB,fbs,23,-19,Illinois,-26.5,-8000,1400,-23.132563713243528,4.132563713243528,7.5,17.078082844017132,56.25,1,1,1,1,1.0125,0.012499999999999956
401858424,2026,1,true,Illinois,fbs,42,UAB,fbs,23,-19,Illinois,-25.5,,,-23.132563713243528,4.132563713243528,6.5,17.078082844017132,42.25,1,1,1,1,0.0,0.0
401858424,2026,1,true,Illinois,fbs,42,UAB,fbs,23,-19,Illinois,-25.5,-3600,1500,-23.132563713243528,4.132563713243528,6.5,17.078082844017132,42.25,1,1,1,1,1.0277777777777777,0.02777777777777768
401856768,2026,1,true,Utah,fbs,66,Idaho,fcs,14,-52,Utah,-37.5,-100000,5000,-33.971597969835614,18.028402030164386,14.5,325.02327976123536,210.25,1,1,0,0,1.001,0.0009999999999998899
401856768,2026,1,true,Utah,fbs,66,Idaho,fcs,14,-52,Utah,-38.5,,,-33.971597969835614,18.028402030164386,13.5,325.02327976123536,182.25,1,1,0,0,0.0,0.0
401864495,2026,1,true,Eastern Michigan,fbs,21,San José State,fbs,27,6,San José State,-1.5,-115,-105,3.380206612476311,2.619793387523689,7.5,6.863317393312847,56.25,1,0,1,1,1.9523809523809523,0.9523809523809523
401864495,2026,1,true,Eastern Michigan,fbs,21,San José State,fbs,27,6,San José State,-1.5,,,3.380206612476311,2.619793387523689,7.5,6.863317393312847,56.25,1,0,1,1,0.0,0.0
401864495,2026,1,true,Eastern Michigan,fbs,21,San José State,fbs,27,6,San José State,-1.5,-170,145,3.380206612476311,2.619793387523689,7.5,6.863317393312847,56.25,1,0,1,1,2.45,1.4500000000000002
401858435,2026,1,true,Purdue,fbs,44,Indiana State,fcs,19,-25,Purdue,-35.166666666666664,,,-20.672230398509566,4.327769601490434,10.166666666666664,18.729589723584674,103.36111111111106,1,1,1,1,0.0,0.0
401866623,2026,1,true,Georgia State,fbs,59,North Carolina A&T,fcs,10,-49,Georgia State,-28.5,-4000,1600,-13.609230102120783,35.39076989787922,20.5,1252.5065939646338,420.25,1,1,0,0,1.025,0.02499999999999991
401866623,2026,1,true,Georgia State,fbs,59,North Carolina A&T,fcs,10,-49,Georgia State,-28.25,,,-13.609230102120783,35.39076989787922,20.75,1252.5065939646338,430.5625,1,1,0,0,0.0,0.0
401858429,2026,1,true,Michigan State,fbs,30,Toledo,fbs,20,-10,Michigan State,-10.0,,,-0.32468297308750316,9.675317026912497,0.0,93.61175957126288,0.0,1,1,0,0,0.0,0.0
401858429,2026,1,true,Michigan State,fbs,30,Toledo,fbs,20,-10,Michigan State,-10.0,-410,305,-0.32468297308750316,9.675317026912497,0.0,93.61175957126288,0.0,1,1,0,0,1.2439024390243902,0.24390243902439024
401858429,2026,1,true,Michigan State,fbs,30,Toledo,fbs,20,-10,Michigan State,-10.0,-410,320,-0.32468297308750316,9.675317026912497,0.0,93.61175957126288,0.0,1,1,0,0,1.2439024390243902,0.24390243902439024
401856664,2026,1,true,Oklahoma,fbs,51,UTEP,fbs,0,-51,Oklahoma,-40.666666666666664,,,-33.720456575257245,17.279543424742755,10.333333333333336,298.58262096757056,106.77777777777783,1,1,0,0,0.0,0.0
401856769,2026,1,true,Kansas,fbs,51,Long Island University,fcs,6,-45,Kansas,-43.666666666666664,,,-31.70040827070956,13.29959172929044,1.3333333333333357,176.8791401658107,1.7777777777777841,1,1,0,0,0.0,0.0
401858436,2026,1,true,USC,fbs,39,Fresno State,fbs,0,-39,USC,-21.5,-1800,1000,-36.07388697097259,2.9261130290274124,17.5,8.562137458643978,306.25,1,1,1,1,1.0555555555555556,0.05555555555555558
